id,schedule_code,effective_date,change_type,li_item_id,pbs_code,drug_id,brand_name,old_value,new_value,affected_items,significance,notes,created_at
4624,1983062564,2092-01-01,delisted,10204C_15312_34257_34269_45178,10204C,2100002999,Ezalo Composite Pack 10mg+5mg,"{""pbs_code"": ""10204C"", ""formulary"": ""F2"", ""brand_name"": ""Ezalo Composite Pack 10mg+5mg"", ""li_item_id"": ""10204C_15312_34257_34269_45178"", ""determined_price"": 10.75}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4625,1983062564,2092-01-01,delisted,10204C_15312_34257_34269_59711,10204C,2100002999,Ezetimibe - Rosuvastatin Sandoz 10 mg/5 mg,"{""pbs_code"": ""10204C"", ""formulary"": ""F2"", ""brand_name"": ""Ezetimibe - Rosuvastatin Sandoz 10 mg/5 mg"", ""li_item_id"": ""10204C_15312_34257_34269_59711"", ""determined_price"": 10.75}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4626,1983062564,2092-01-01,delisted,10207F_15316_34257_34265_34268,10207F,2100002999,Rosuzet Composite Pack,"{""pbs_code"": ""10207F"", ""formulary"": ""F2"", ""brand_name"": ""Rosuzet Composite Pack"", ""li_item_id"": ""10207F_15316_34257_34265_34268"", ""determined_price"": 13.59}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4627,1983062564,2092-01-01,delisted,10207F_15316_34257_34265_45177,10207F,2100002999,Ezalo Composite Pack 10mg+40mg,"{""pbs_code"": ""10207F"", ""formulary"": ""F2"", ""brand_name"": ""Ezalo Composite Pack 10mg+40mg"", ""li_item_id"": ""10207F_15316_34257_34265_45177"", ""determined_price"": 13.59}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4628,1983062564,2092-01-01,delisted,10207F_15316_34257_34265_56437,10207F,2100002999,Pharmacor Ezetimibe Rosuvastatin Composite Pack,"{""pbs_code"": ""10207F"", ""formulary"": ""F2"", ""brand_name"": ""Pharmacor Ezetimibe Rosuvastatin Composite Pack"", ""li_item_id"": ""10207F_15316_34257_34265_56437"", ""determined_price"": 13.59}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4629,1983062564,2092-01-01,delisted,10207F_15316_34257_34265_59708,10207F,2100002999,Ezetimibe - Rosuvastatin Sandoz 10 mg/40 mg,"{""pbs_code"": ""10207F"", ""formulary"": ""F2"", ""brand_name"": ""Ezetimibe - Rosuvastatin Sandoz 10 mg/40 mg"", ""li_item_id"": ""10207F_15316_34257_34265_59708"", ""determined_price"": 13.59}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4630,1983062564,2092-01-01,delisted,10208G_15314_34257_34258_34273,10208G,2100002999,Rosuzet Composite Pack,"{""pbs_code"": ""10208G"", ""formulary"": ""F2"", ""brand_name"": ""Rosuzet Composite Pack"", ""li_item_id"": ""10208G_15314_34257_34258_34273"", ""determined_price"": 12.04}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4631,1983062564,2092-01-01,delisted,10208G_15314_34257_34258_45175,10208G,2100002999,Ezalo Composite Pack 10mg+10mg,"{""pbs_code"": ""10208G"", ""formulary"": ""F2"", ""brand_name"": ""Ezalo Composite Pack 10mg+10mg"", ""li_item_id"": ""10208G_15314_34257_34258_45175"", ""determined_price"": 12.04}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4632,1983062564,2092-01-01,delisted,10208G_15314_34257_34258_56435,10208G,2100002999,Pharmacor Ezetimibe Rosuvastatin Composite Pack,"{""pbs_code"": ""10208G"", ""formulary"": ""F2"", ""brand_name"": ""Pharmacor Ezetimibe Rosuvastatin Composite Pack"", ""li_item_id"": ""10208G_15314_34257_34258_56435"", ""determined_price"": 12.04}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4633,1983062564,2092-01-01,delisted,10208G_15314_34257_34258_59714,10208G,2100002999,Ezetimibe - Rosuvastatin Sandoz 10 mg/10 mg,"{""pbs_code"": ""10208G"", ""formulary"": ""F2"", ""brand_name"": ""Ezetimibe - Rosuvastatin Sandoz 10 mg/10 mg"", ""li_item_id"": ""10208G_15314_34257_34258_59714"", ""determined_price"": 12.04}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4634,1983062564,2092-01-01,delisted,13480L_15315_34257_34261_34264,13480L,2100002999,Rosuzet Composite Pack,"{""pbs_code"": ""13480L"", ""formulary"": ""F2"", ""brand_name"": ""Rosuzet Composite Pack"", ""li_item_id"": ""13480L_15315_34257_34261_34264"", ""determined_price"": 13.88}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4635,1983062564,2092-01-01,delisted,13480L_15315_34257_34261_45176,13480L,2100002999,Ezalo Composite Pack 10mg+20mg,"{""pbs_code"": ""13480L"", ""formulary"": ""F2"", ""brand_name"": ""Ezalo Composite Pack 10mg+20mg"", ""li_item_id"": ""13480L_15315_34257_34261_45176"", ""determined_price"": 13.88}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4636,1983062564,2092-01-01,delisted,13480L_15315_34257_34261_56436,13480L,2100002999,Pharmacor Ezetimibe Rosuvastatin Composite Pack,"{""pbs_code"": ""13480L"", ""formulary"": ""F2"", ""brand_name"": ""Pharmacor Ezetimibe Rosuvastatin Composite Pack"", ""li_item_id"": ""13480L_15315_34257_34261_56436"", ""determined_price"": 13.88}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4637,1983062564,2092-01-01,delisted,13480L_15315_34257_34261_59702,13480L,2100002999,Ezetimibe - Rosuvastatin Sandoz 10 mg/20 mg,"{""pbs_code"": ""13480L"", ""formulary"": ""F2"", ""brand_name"": ""Ezetimibe - Rosuvastatin Sandoz 10 mg/20 mg"", ""li_item_id"": ""13480L_15315_34257_34261_59702"", ""determined_price"": 13.88}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4638,1983062564,2092-01-01,delisted,13537L_15316_34257_34265_34268,13537L,2100002999,Rosuzet Composite Pack,"{""pbs_code"": ""13537L"", ""formulary"": ""F2"", ""brand_name"": ""Rosuzet Composite Pack"", ""li_item_id"": ""13537L_15316_34257_34265_34268"", ""determined_price"": 13.59}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4639,1983062564,2092-01-01,delisted,13537L_15316_34257_34265_45177,13537L,2100002999,Ezalo Composite Pack 10mg+40mg,"{""pbs_code"": ""13537L"", ""formulary"": ""F2"", ""brand_name"": ""Ezalo Composite Pack 10mg+40mg"", ""li_item_id"": ""13537L_15316_34257_34265_45177"", ""determined_price"": 13.59}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4640,1983062564,2092-01-01,delisted,13537L_15316_34257_34265_56437,13537L,2100002999,Pharmacor Ezetimibe Rosuvastatin Composite Pack,"{""pbs_code"": ""13537L"", ""formulary"": ""F2"", ""brand_name"": ""Pharmacor Ezetimibe Rosuvastatin Composite Pack"", ""li_item_id"": ""13537L_15316_34257_34265_56437"", ""determined_price"": 13.59}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4641,1983062564,2092-01-01,delisted,13537L_15316_34257_34265_59708,13537L,2100002999,Ezetimibe - Rosuvastatin Sandoz 10 mg/40 mg,"{""pbs_code"": ""13537L"", ""formulary"": ""F2"", ""brand_name"": ""Ezetimibe - Rosuvastatin Sandoz 10 mg/40 mg"", ""li_item_id"": ""13537L_15316_34257_34265_59708"", ""determined_price"": 13.59}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4642,1983062564,2092-01-01,delisted,13569E_15314_34257_34258_34273,13569E,2100002999,Rosuzet Composite Pack,"{""pbs_code"": ""13569E"", ""formulary"": ""F2"", ""brand_name"": ""Rosuzet Composite Pack"", ""li_item_id"": ""13569E_15314_34257_34258_34273"", ""determined_price"": 12.04}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4643,1983062564,2092-01-01,delisted,13569E_15314_34257_34258_45175,13569E,2100002999,Ezalo Composite Pack 10mg+10mg,"{""pbs_code"": ""13569E"", ""formulary"": ""F2"", ""brand_name"": ""Ezalo Composite Pack 10mg+10mg"", ""li_item_id"": ""13569E_15314_34257_34258_45175"", ""determined_price"": 12.04}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4644,1983062564,2092-01-01,delisted,13569E_15314_34257_34258_56435,13569E,2100002999,Pharmacor Ezetimibe Rosuvastatin Composite Pack,"{""pbs_code"": ""13569E"", ""formulary"": ""F2"", ""brand_name"": ""Pharmacor Ezetimibe Rosuvastatin Composite Pack"", ""li_item_id"": ""13569E_15314_34257_34258_56435"", ""determined_price"": 12.04}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4645,1983062564,2092-01-01,delisted,13569E_15314_34257_34258_59714,13569E,2100002999,Ezetimibe - Rosuvastatin Sandoz 10 mg/10 mg,"{""pbs_code"": ""13569E"", ""formulary"": ""F2"", ""brand_name"": ""Ezetimibe - Rosuvastatin Sandoz 10 mg/10 mg"", ""li_item_id"": ""13569E_15314_34257_34258_59714"", ""determined_price"": 12.04}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4646,1983062564,2092-01-01,delisted,13629H_15312_34257_34269_34272,13629H,2100002999,Rosuzet Composite Pack,"{""pbs_code"": ""13629H"", ""formulary"": ""F2"", ""brand_name"": ""Rosuzet Composite Pack"", ""li_item_id"": ""13629H_15312_34257_34269_34272"", ""determined_price"": 10.75}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4647,1983062564,2092-01-01,delisted,13629H_15312_34257_34269_45178,13629H,2100002999,Ezalo Composite Pack 10mg+5mg,"{""pbs_code"": ""13629H"", ""formulary"": ""F2"", ""brand_name"": ""Ezalo Composite Pack 10mg+5mg"", ""li_item_id"": ""13629H_15312_34257_34269_45178"", ""determined_price"": 10.75}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4648,1983062564,2092-01-01,delisted,13629H_15312_34257_34269_59711,13629H,2100002999,Ezetimibe - Rosuvastatin Sandoz 10 mg/5 mg,"{""pbs_code"": ""13629H"", ""formulary"": ""F2"", ""brand_name"": ""Ezetimibe - Rosuvastatin Sandoz 10 mg/5 mg"", ""li_item_id"": ""13629H_15312_34257_34269_59711"", ""determined_price"": 10.75}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4649,1983062564,2092-01-01,delisted,10399H_10037_1189_5419_45576,10399H,2100003000,Hadlima,"{""pbs_code"": ""10399H"", ""formulary"": ""F2"", ""brand_name"": ""Hadlima"", ""li_item_id"": ""10399H_10037_1189_5419_45576"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4650,1983062564,2092-01-01,delisted,10399H_10037_1189_5419_45951,10399H,2100003000,Amgevita,"{""pbs_code"": ""10399H"", ""formulary"": ""F2"", ""brand_name"": ""Amgevita"", ""li_item_id"": ""10399H_10037_1189_5419_45951"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4651,1983062564,2092-01-01,delisted,10399H_10037_1189_5419_49269,10399H,2100003000,Hyrimoz,"{""pbs_code"": ""10399H"", ""formulary"": ""F2"", ""brand_name"": ""Hyrimoz"", ""li_item_id"": ""10399H_10037_1189_5419_49269"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
